,Url,Question,Answer,Views
0,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2522903.0,"Much of the power of exhalation is supplied by passive forces of respiration.

Indicate whether this statement is true or false.",T,883
1,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2522902.0,"0SPL 90 is the average sound pressure level when volume is 1/2 on and input is at 90 dB.

Indicate whether this statement is true or false.",False,1077
2,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517724.0,"In the first phase of the initial reading (decoding) stage, children make errors that are _______________________________.

a. Semantically probable
b. Graphemically similar
c. Syntactically improbable
d. Phonetically similar",A,866
3,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517723.0,"_________________________________ is the most complex phonological awareness ability and does not develop until around age 7 years.

a. Onset-rime segmentation
b. Blending sounds
c. Sound manipulation
d. Segmenting sounds from words",C,658
4,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517722.0,"Acoustic immittance recorded at a single air pressure is called _____.

Fill in the blank(s) with the appropriate word(s).",Static acoustic compliance,928
5,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517721.0,"The time ratios for inhalation and exhalation are nearly equal for quiet breathing.

Indicate whether this statement is true or false.",T,541
6,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517720.0,"The lateral cricoarytenoid is the lone abductor muscle.

Indicate whether this statement is true or false.",F,616
7,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517719.0,"Audiologists are responsible for caring for persons with ____________.

Fill in the blank(s) with the appropriate word(s).",Hearing loss and related disorders,489
8,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517718.0,"One major advantage of group amplification systems is that they can improve signal to noise ratio for multiple listeners.

Indicate whether this statement is true or false.",True,597
9,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517717.0,"It is very important that the earmold provide a very tight seal when used in a slight/mild hearing loss case in order to prevent bothersome feedback.

Indicate whether this statement is true or false.",False,889
10,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517716.0,"Equivalent input noise is the prescribed way to measure environmental noise.

Indicate whether this statement is true or false.",False,852
11,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517715.0,"Zero dB sound pressure level is the average normal threshold for the human ear.

Indicate whether this statement is true or false.",False,1259
12,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517714.0,".______ Somatosensory senses involve providing information about the body's position using skin and muscle senses.

Indicate whether the statement is true or false.",Correct answer: T,1344
13,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=2517713.0,"GERD is a normal physiologic process that occurs typically after a meal and may be observed with endoscopy.

A) TRUE B) FALSE",TRUE,1061
14,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=1515480.0,"The tool most useful for assessing Lian's (14;2 years) speech intelligibility would be:

a) Hodson Assessment of Phonological Patterns-3 (HAPP-3) (Hodson, 2004).
b) Speech Participation and Activity Assessment of Children (SPAA-C) (McLeod, 2004). 
c) Diagnostic Evaluation of Articulation and Phonology (DEAP): Phonology (Dodd, Hua, et al., 2006).
d) Children's Speech Intelligibility Measure (CSIM) (Wilcox & Morris,1999).",d,1000
15,https://thistudy.com/index.php?PHPSESSID=s4ul04p8qa6stc98mf9l43at01&topic=1515479.0,"The intervention approach that could be helpful in addressing Lian's (14;2 years) difficulty creating a phonemic contrast between postalveolar affricates, postalveolar fricatives and alveolar fricatives is:

a) treatment of the empty set.
b) minimal pairs intervention. 
c) core vocabulary intervention. 
d) stimulability therapy.",b,895
